gene	partner
ACAD9	ACAD9
ACAD9	MGC14452
ACAD9	NPD002
ACADL	ACAD4
ACADL	ACADL
ACADL	LCAD
ACADM	ACAD1
ACADM	ACADM
ACADM	MCAD
ACADM	MCADH
ACADS	ACAD3
ACADS	ACADS
ACADS	SCAD
ACADSB	ACAD7
ACADSB	ACADSB
ACADSB	SBCAD
ACADVL	ACAD6
ACADVL	ACADVL
ACADVL	LCACD
ACADVL	VLCAD
ACAD~withdrawn	ACAD~withdrawn
ACAM	CLMP
ACAN	ACAN
ACAN	CSPGCP
ACAP1	ACAP1
ACAP1	KIAA0050
ACAP2	ACAP2
ACAP2	CNT-B2
ACAP2	KIAA0041
ACAP2-IT1	ACAP2-IT1
ACAP3	ACAP3
ACAP3	KIAA1716
ACAT	SOAT1
ACAT1	ACAT1
ACAT1	THIL
ACAT2	ACAT2
ACAT2	SOAT2
ACATE2	ACOT9
ACBD1	DBI
ACBD2	ECI2
ACBD3	ACBD3
ACBD3	GCP60
ACBD3	PAP7
ACBD4	ACBD4
ACBD4	FLJ13322
ACBD5	ACBD5
ACBD5	DKFZp434A2417
ACBD5	KIAA1996
ACBD6	ACBD6
ACBD6	MGC2404
ACBD7	ACBD7
ACBD7	FLJ38219
ACBD7	bA455B2.2
ACBP	DBI
ACBP~withdrawn	ACBP~withdrawn
ACC-1	BCL2A1
ACC-2	BCL2A1
ACC-4	CTSH
ACC-5	CTSH
ACC-6	HMSD
ACC1	ACACA
ACC2	ACACB
ACCA	GPR3
ACCB	ACACB
ACCN~withdrawn	ACCN~withdrawn
ACCPN~withdrawn	ACCPN~withdrawn
ACCS	ACCS
ACCS	ACS
ACCS	PHACS
ACCSL	ACCSL
ACC~withdrawn	ACC~withdrawn
ACD	ACD
ACD	Pip1
ACD	Ptop
ACD	Tint1
ACD	Tpp1
ACDCR1	ADIPOR1
ACDCR2	ADIPOR2
ACE	ACE
ACE	ACE1
ACE	CD143
ACE1	ACE
ACE2	ACE2
ACE3P	ACE3P
ACER1	ACER1
ACER2	ACER2
ACER2	FLJ41587
ACER3	ACER3
ACER3	APHC
ACER3	FLJ11238
ACF	A1CF
ACF1	BAZ1A
ACF64	A1CF
ACF65	A1CF
ACF7	MACF1
ACG	DOCK11
ACGNAT	GLYAT
ACH1	ACOT7
ACH2	ACOT1
ACHAP~withdrawn	ACHAP~withdrawn
ACHE	ACHE
ACHM1~withdrawn	ACHM1~withdrawn
ACHM2~withdrawn	ACHM2~withdrawn
ACHM3~withdrawn	ACHM3~withdrawn
ACHM4	GNAT2
ACHM5	PDE6C
ACHP	LMBR1
ACHRD~withdrawn	ACHRD~withdrawn
ACHRE	CHRNE
ACHRG~withdrawn	ACHRG~withdrawn
ACH~withdrawn	ACH~withdrawn
ACID1	MED25
ACIN1	ACIN1
ACIN1	KIAA0670
ACIN1	fSAP152
ACK	TNK2
ACK1	TNK2
ACKR1	DARC
ACKR2	ACKR2
ACKR2	CCR10
ACKR2	CCR9
ACKR2	D6
ACKR3	ACKR3
ACKR3	GPR159
ACKR3	RDC1
ACKR4	ACKR4
ACKR4	CCBP2
ACKR4	CCR11
ACKR4	CCX-CKR
ACKR4	PPR1
ACKR4	VSHK1
ACKR5	CCRL2
ACKR6	PITPNM3
ACL	ACLY
ACLP	AEBP1
ACLS	ACLS
ACLS	GLI3
ACLY	ACL
ACLY	ACLY
ACLY	ATPCL
ACLY	CLATP
ACMG~withdrawn	ACMG~withdrawn
ACMSD	ACMSD
ACN9	ACN9
ACN9	DC11
ACNATP	BAATP1
ACO	KLK15
ACO1	ACO1
ACO1	IREBP
ACO1	IRP1
ACO2	ACO2
ACO2	ACONM
ACOD4	SCD5
ACONM	ACO2
ACOT1	ACH2
ACOT1	ACOT1
ACOT1	CTE-1
ACOT1	LACH2
ACOT11	ACOT11
ACOT11	BFIT
ACOT11	BFIT1
ACOT11	KIAA0707
ACOT11	STARD14
ACOT11	THEM1
ACOT12	ACOT12
ACOT12	Cach
ACOT12	STARD15
ACOT12	THEAL
ACOT13	ACOT13
ACOT13	HT012
ACOT2	ACOT2
ACOT2	Mte1
ACOT2	ZAP128
ACOT4	ACOT4
ACOT4	FLJ31235
ACOT4	PTE-Ib
ACOT4	PTE2B
ACOT6	ACOT6
ACOT7	ACH1
ACOT7	ACOT7
ACOT7	ACT
ACOT7	BACH
ACOT7	CTE-II
ACOT7	LACH1
ACOT7	MGC1126
ACOT7	hBACH
ACOT8	ACOT8
ACOT8	PTE-2
ACOT8	hACTE-III
ACOT8	hTE
ACOT9	ACATE2
ACOT9	ACOT9
ACOT9	CGI-16
ACOT9	MT-ACT48
ACOX1	ACOX1
ACOX1	PALMCOX
ACOX2	ACOX2
ACOX2	BRCACOX
ACOX2	BRCOX
ACOX2	THCCox
ACOX3	ACOX3
ACOXL	ACOXL
ACOXL	FLJ11042
ACP	NDUFAB1
ACP-3	ACPP
ACP1	ACP1
ACP2	ACP2
ACP3	ACPP
ACP33	SPG21
ACP5	ACP5
ACP5	TRAP
ACP6	ACP6
ACP6	ACPL1
ACP6	LPAP
ACPA	PRTN3
ACPL1	ACP6
ACPL2	ACPL2
ACPL2	FLJ23751
ACPP	ACP-3
ACPP	ACP3
ACPP	ACPP
ACPT	ACPT
ACR	ACR
ACR1	PRDX5
ACRBP	ACRBP
ACRBP	CT23
ACRBP	OY-TES-1
ACRBP	SP32
ACRC	ACRC
ACRP	SPAG7
ACRP30	ADIPOQ
ACRV1	ACRV1
ACRV1	D11S4365
ACRV1	SP-10
ACRV1	SPACA2
ACS	ACCS
